Horses,1st,2nd,3rd,starts,win,place,roi
Beyond Thankful,1,2,1,11,9.1,36.4,72.73
Stephan,1,2,2,7,14.3,71.4,7.14
Pocket Pistol,1,1,0,7,14.3,28.6,-50.00
Cry of Achilles,1,4,0,9,11.1,55.6,-65.56
Sadente,1,3,1,10,10.0,50.0,-75.00
Spilt,1,0,1,3,33.3,66.7,333.33
Sealed,1,1,3,8,12.5,62.5,-81.88
Zaidin,1,2,1,9,11.1,44.4,-81.11
Arctic Shock,1,2,2,7,14.3,71.4,-47.14
Dentara,1,2,1,6,16.7,66.7,-61.67
Strike Celebration,1,0,2,5,20.0,60.0,-32.00
Naivasha,1,1,0,6,16.7,33.3,0.00
El Desperado,1,1,4,10,10.0,60.0,-58.00
Neighbourhood,1,1,0,4,25.0,50.0,-32.50
Red Chandelier,1,0,2,13,7.7,23.1,-57.69
Lookout,1,4,1,11,9.1,54.5,-84.55
Ariege,1,3,2,7,14.3,85.7,-75.00
King Of Hastings,1,1,0,2,50.0,100.0,30.00
Bondi Boy,1,3,2,8,12.5,75.0,-47.50
Schnapps,1,3,0,6,16.7,66.7,-61.67
Dreams of Paris,1,1,1,8,12.5,37.5,-37.50
Aasira,1,2,2,11,9.1,45.5,-64.55
Vainstream,1,1,1,9,11.1,33.3,-71.11
Double Superlative,1,0,1,5,20.0,40.0,100.00
Royalist,1,1,0,4,25.0,50.0,550.00
Suretoshine,1,3,1,6,16.7,83.3,-40.00
Baldy,1,2,2,11,9.1,45.5,-54.55
Chippenham,1,2,0,5,20.0,60.0,50.00
Fudged,1,1,2,11,9.1,36.4,63.64
Nothing Box,1,0,0,5,20.0,20.0,520.00
So Spirited,1,1,1,7,14.3,42.9,-62.86
Fabergino,1,0,1,3,33.3,66.7,-43.33
Real Success,1,2,0,5,20.0,60.0,60.00
Illuminaire,1,2,1,11,9.1,36.4,-86.36
Neptune's Spear,1,1,0,4,25.0,50.0,-22.50
Deep Chill,1,0,1,3,33.3,66.7,83.33
Freeze Over,1,0,2,6,16.7,50.0,8.33
Seatonic,1,2,0,4,25.0,75.0,-55.00
Haames,1,1,1,7,14.3,42.9,-21.43
Broken Arrows,1,3,2,7,14.3,85.7,-48.57
Royal Performance,1,2,1,5,20.0,80.0,-63.00
Dream Kisses,1,2,3,10,10.0,60.0,-74.00
Alison of Tuffy,1,2,2,11,9.1,45.5,-70.00
Everlasting Love,1,3,2,8,12.5,75.0,-78.75
Prinz Hlodowig,1,2,0,8,12.5,37.5,-31.25
Beidi,1,0,2,11,9.1,27.3,-70.00
Blue Bear,1,3,1,13,7.7,38.5,-80.00
Into Rio,1,0,4,10,10.0,50.0,-58.00
Sensacova,1,2,3,11,9.1,54.5,-61.82
Celtic Love,1,0,1,8,12.5,25.0,-31.25
Thunder Pace,1,1,0,4,25.0,50.0,50.00
Kelvinside,1,0,5,12,8.3,50.0,241.67
Kashiwa,1,0,0,8,12.5,12.5,50.00
Brilliant Mind,1,3,0,9,11.1,44.4,-76.67
Evening Slippers,1,0,1,3,33.3,66.7,-13.33
Saint Katarina,1,2,1,9,11.1,44.4,-57.78
Not Too Sure,1,2,5,11,9.1,72.7,72.73
Romelo,1,1,2,9,11.1,44.4,-84.44
Doc Holliday,1,0,4,14,7.1,35.7,-82.50
Invincible Gangsta,1,2,2,8,12.5,62.5,-68.75
Bemboka Queen,1,1,3,12,8.3,41.7,50.00
My Fire Phoenix,1,0,0,3,33.3,33.3,60.00
Onemore Sapphire,1,1,2,7,14.3,57.1,200.00
Zarlu,1,3,3,14,7.1,50.0,335.71
Milunka,1,2,1,5,20.0,80.0,-76.40
I Am Incredible,1,0,0,8,12.5,12.5,-12.50
The Mayor,1,1,3,10,10.0,50.0,-54.00
Dresden Green,1,2,0,4,25.0,75.0,-50.00
Benall,1,1,2,7,14.3,57.1,-34.29
Ascendance,1,1,1,7,14.3,42.9,7.14
Feather,1,3,0,8,12.5,50.0,-65.00
Waka,1,0,1,4,25.0,50.0,37.50
Kakadu,1,1,0,9,11.1,22.2,-75.56
Grand Symphony,1,2,1,13,7.7,30.8,-75.38
Yeah Bravo,1,1,1,15,6.7,20.0,-40.00
Ballistica,1,2,0,7,14.3,42.9,-48.57
Cannot Be Serios,1,3,1,16,6.3,31.3,-68.75
Torchbearer,1,3,1,10,10.0,50.0,40.00
Confronting,1,5,1,12,8.3,58.3,25.00
Regent,1,0,1,7,14.3,28.6,-31.43
Seahampton,1,1,2,10,10.0,40.0,-74.00
Show Me the Honey,1,3,1,10,10.0,50.0,-10.00
Mishani Desire,1,2,0,3,33.3,100.0,83.33
Mi Keri Pi,1,2,1,9,11.1,44.4,-53.33
Autocratic,1,0,0,6,16.7,16.7,-43.33
Schwitzer,1,0,3,7,14.3,57.1,-31.43
Quanyin,1,1,1,12,8.3,25.0,-74.17
Great Affair,1,3,0,5,20.0,80.0,-42.00
Moscow Red,1,1,3,10,10.0,50.0,-15.00
Celestial King,1,1,0,10,10.0,20.0,-45.00
Okie,1,3,2,8,12.5,75.0,-40.00
Dee Jay Artie,1,2,2,7,14.3,71.4,-37.14
What Could Be,1,1,1,9,11.1,33.3,-38.89
Eighteen Carrot,1,1,0,7,14.3,28.6,-42.86
Fairlight,1,0,1,5,20.0,40.0,50.00
Love Struck,1,1,1,10,10.0,30.0,-62.00
Welcome Stryker,1,1,5,14,7.1,50.0,-79.29
Kensington Abbey,1,0,0,6,16.7,16.7,166.67
Discharged,1,0,1,4,25.0,50.0,-5.00
Park Chinois,1,2,2,9,11.1,55.6,-65.56
Boltoutoftheblue,1,2,5,9,11.1,88.9,-33.33
Atlanta Blue,1,0,0,7,14.3,14.3,-55.71
Magic Over the Bay,1,2,1,11,9.1,36.4,-56.36
Baker Boy,1,0,1,7,14.3,28.6,171.43
Invincible Lotus,1,0,0,3,33.3,33.3,-28.33
Ours,1,2,1,7,14.3,57.1,-40.00
Stella Anne,1,2,2,11,9.1,45.5,45.45
Edith Margaret,1,3,1,8,12.5,62.5,18.75
Naomi,1,0,1,5,20.0,40.0,1920.00
Miss Matriarch,1,2,0,10,10.0,30.0,-25.00
Comparative,1,2,0,11,9.1,27.3,90.91
Global Factor,1,4,2,11,9.1,63.6,-58.18
Timion,1,5,2,14,7.1,57.1,-14.29
Abinger,1,2,1,7,14.3,57.1,0.00
Torpenhow,1,2,1,5,20.0,80.0,80.00
Almerheri,1,0,1,6,16.7,33.3,-8.33
Seeblume,1,0,0,6,16.7,16.7,41.67
Seewhatshebrings,1,4,1,11,9.1,54.5,-88.73
Deer Mountain,1,0,0,3,33.3,33.3,500.00
Counterfeited,1,5,1,14,7.1,50.0,-39.29
Silence the Stars,1,1,1,10,10.0,30.0,-40.00
Lord da Vinci,1,0,1,7,14.3,28.6,-7.14
King Tomlola,1,0,1,8,12.5,25.0,25.00
Lutreola,1,1,1,19,5.3,15.8,-57.89
Shamrock Joy,1,3,0,12,8.3,33.3,-41.67
Stealth Sniper,1,2,1,6,16.7,66.7,-55.00
Slowpoke Rodriguez,1,2,1,6,16.7,66.7,-23.33
Realise Potential,1,3,0,13,7.7,30.8,215.38
Paremuus Boy,1,0,0,11,9.1,9.1,-22.73
Mikimoto,1,0,0,3,33.3,33.3,-51.67
Decapitor,1,5,0,9,11.1,66.7,88.89
Onthetake,1,1,2,8,12.5,50.0,-78.75
Vedder,1,2,0,5,20.0,60.0,-73.00
Ilwendo,1,1,2,7,14.3,57.1,-70.71
Lady Solly,1,2,1,5,20.0,80.0,-36.00
Alot Like Home,1,3,0,9,11.1,44.4,-38.89
Knowitall Jack,1,1,0,3,33.3,66.7,-21.67
Intense Focus,1,2,1,8,12.5,50.0,-76.88
Veranes,1,2,3,9,11.1,66.7,-70.00
Spillinova,1,1,0,3,33.3,66.7,-3.33
Tavonian,1,2,1,11,9.1,36.4,-54.55
Luke's Gold,1,0,0,4,25.0,25.0,87.50
Stragun,1,0,2,9,11.1,33.3,-60.00
Saxton Rock,1,1,2,7,14.3,57.1,-40.00
Stellar Collision,1,0,0,7,14.3,14.3,-7.14
Echo Gem,1,2,0,6,16.7,50.0,-16.67
Madame Markievicz,1,2,0,4,25.0,75.0,-69.00
Sir Barb,1,0,1,9,11.1,22.2,5.56
Symi,1,0,0,7,14.3,14.3,-40.00
Allzin,1,1,1,7,14.3,42.9,14.29
All Too Handy,1,0,1,5,20.0,40.0,10.00
The Tenor,1,0,1,5,20.0,40.0,-75.20
Fact Or Fable,1,0,0,4,25.0,25.0,-5.00
Brazilica,1,0,1,2,50.0,100.0,-25.00
Sugar Boom,1,2,0,4,25.0,75.0,-52.50
Rheingau,1,2,1,11,9.1,36.4,-73.64
Circus Dancer,1,3,2,19,5.3,31.6,-74.74
Balius,1,0,0,8,12.5,12.5,787.50
Vitesse,1,1,1,8,12.5,37.5,-75.63
Brocson,1,3,2,16,6.3,37.5,6.25
French Fizz,1,3,0,7,14.3,57.1,-100.00
Booze Free,1,3,2,17,5.9,35.3,-70.59
True Magic,1,3,2,9,11.1,66.7,-71.11
Showpero,1,1,0,3,33.3,66.7,66.67
Outlandos,1,2,0,5,20.0,60.0,80.00
Divide The Sea,1,0,1,4,25.0,50.0,-7.50
Scamper,1,2,0,9,11.1,33.3,-73.33
Enki,1,2,4,18,5.6,38.9,-63.89
Just Dylan,1,1,2,9,11.1,44.4,-33.33
Doss,1,0,0,2,50.0,50.0,850.00
Aussie,1,1,0,3,33.3,66.7,-20.00
Bridyn May,1,3,2,11,9.1,54.5,-70.91
Sharpbob,1,0,0,9,11.1,11.1,-62.22
Californiafirebird,1,1,2,10,10.0,40.0,30.00
Eminent,1,0,0,3,33.3,33.3,53.33
Americana Magic,1,1,0,7,14.3,28.6,-37.14
Substantial,1,0,1,6,16.7,33.3,-53.33
Chewbacca,1,2,1,7,14.3,57.1,-75.00
Sondelon,1,0,1,6,16.7,33.3,0.00
Gee Gee Lanett,1,2,1,7,14.3,57.1,-54.29
Red Heat,1,2,1,8,12.5,50.0,-40.00
Fitzwilliam,1,1,3,7,14.3,71.4,-82.29
Deep Sea,1,1,0,2,50.0,100.0,80.00
Obscura,1,3,1,14,7.1,35.7,7.14
Mr Monaco,1,1,0,10,10.0,20.0,20.00
Arrum Boy,1,4,0,14,7.1,35.7,-89.29
Sense of Power,1,2,0,4,25.0,75.0,5.00
First Reading,1,3,2,8,12.5,75.0,-71.25
Cliff's Choice,1,3,0,17,5.9,23.5,-78.82
Burning the Clock,1,3,4,9,11.1,88.9,-82.78
Fantastic Man,1,1,0,5,20.0,40.0,120.00
Our Sunny Girl,1,4,2,9,11.1,77.8,-80.00
Military Ruler,1,0,0,3,33.3,33.3,116.67
Oradonna,1,1,1,8,12.5,37.5,-12.50
Marathon,1,2,2,11,9.1,45.5,-68.18
Fuji Flyer,1,1,0,4,25.0,50.0,-61.25
Malevolent,1,2,3,12,8.3,50.0,-85.00
Ambiente,1,0,0,3,33.3,33.3,-13.33
Chapal,1,0,2,7,14.3,42.9,-42.86
Celeritate Regem,1,5,0,9,11.1,66.7,-22.22
Brutal Power,1,4,0,9,11.1,55.6,-85.00
Neurotic,1,1,1,7,14.3,42.9,28.57
Segalas,1,2,1,6,16.7,66.7,-69.17
Curious Heart,1,1,2,6,16.7,66.7,33.33
Master Shuhood,1,0,0,2,50.0,50.0,950.00
Aimalac Millie,1,1,0,14,7.1,14.3,-82.50
Royal Atom,1,1,1,8,12.5,37.5,75.00
Invicta,1,2,0,10,10.0,30.0,-40.00
Got Your Six,1,3,0,4,25.0,100.0,-60.00
Harbour Grey,1,1,0,7,14.3,28.6,100.00
Boiling,1,5,1,14,7.1,50.0,-35.71
Task And Purpose,1,1,1,9,11.1,33.3,-48.89
Latin Boy,1,1,0,6,16.7,33.3,416.67
Say Haya,1,1,0,6,16.7,33.3,-16.67
Constant Flight,1,1,2,5,20.0,80.0,-70.00
Zoumanor,1,2,0,9,11.1,33.3,-53.33
She Za Boss,1,2,1,9,11.1,44.4,-22.22
Green Empire,1,3,4,17,5.9,47.1,-81.18
State Attorney,1,3,1,7,14.3,71.4,-68.57
Props,1,2,0,5,20.0,60.0,-22.00
Home Made,1,1,1,9,11.1,33.3,-51.11
Startierra,1,3,1,9,11.1,55.6,-46.67
Mishani Romance,1,1,0,7,14.3,28.6,200.00
First Diamond,1,1,0,8,12.5,25.0,-58.75
Frascati Miss,1,2,1,10,10.0,40.0,-54.00
Wanna Be Good,1,4,0,8,12.5,62.5,-72.50
Mushroom Rock,1,2,2,14,7.1,35.7,-75.00
Savatag,1,1,1,5,20.0,60.0,70.00
Phoebe's Lass,1,0,2,10,10.0,30.0,110.00
Belitsa,1,1,0,3,33.3,66.7,60.00
Plonka,1,2,0,3,33.3,100.0,-48.33
Vitani,1,1,4,7,14.3,85.7,-55.71
No Money No Honey,1,2,0,8,12.5,37.5,137.50
Chanteresse,1,3,2,6,16.7,100.0,-30.00
High Degree,1,1,1,8,12.5,37.5,6.25
King's Champ,1,1,0,5,20.0,40.0,-64.00
Shoplifter,1,2,3,10,10.0,60.0,-52.00
Soxagon,1,1,0,4,25.0,50.0,-40.00
Mossman Gorge,1,1,1,5,20.0,60.0,70.00
Dirty Digby,1,3,1,11,9.1,45.5,-54.55
Dane Thunder,1,0,2,10,10.0,30.0,-15.00
Snowzone,1,1,1,7,14.3,42.9,-47.14
Roddandtodd,1,2,1,9,11.1,44.4,-66.67
Judge O'reilly,1,2,0,6,16.7,50.0,-35.00
Basil Brush,1,0,1,8,12.5,25.0,12.50
Egyptian Gold,1,3,1,8,12.5,62.5,-71.25
Plymouth Road,1,0,0,8,12.5,12.5,225.00
Sabkhat,1,0,0,2,50.0,50.0,15.00
Don't Tell Mama,1,0,0,1,100.0,100.0,1300.00
Rising Sea,1,1,0,7,14.3,28.6,-21.43
Pina,1,0,0,3,33.3,33.3,233.33
Adoradancer,1,1,0,5,20.0,40.0,-8.00
Saarim,1,2,3,8,12.5,75.0,137.50
River Lee,1,2,1,5,20.0,80.0,100.00
Bullet Fly,1,1,1,4,25.0,75.0,-53.75
Andrassy Avenue,1,0,0,4,25.0,25.0,10.00
Southern Romance,1,2,0,5,20.0,60.0,-20.00
Deft,1,0,1,4,25.0,50.0,37.50
Legal Ties,1,2,1,10,10.0,40.0,-35.00
Leven Lass,1,1,0,3,33.3,66.7,66.67
Arty Lucas,1,2,1,7,14.3,57.1,-70.00
Self Imposed,1,1,0,3,33.3,66.7,6.67
Fight,1,1,1,3,33.3,100.0,-16.67
Raging Pole,1,1,2,4,25.0,100.0,-17.50
No Escape,1,0,2,8,12.5,37.5,-47.50
Lock the Doors,1,6,2,14,7.1,64.3,-68.57
Puppet Master,1,2,0,7,14.3,42.9,100.00
Miss Matilda,1,4,0,7,14.3,71.4,-52.86
Hannah's Song,1,2,2,9,11.1,55.6,-73.33
Chia,1,0,1,6,16.7,33.3,50.00
Judge Judi,1,3,0,5,20.0,80.0,-57.00
Watching,1,1,2,9,11.1,44.4,-55.56
A Million Dreams,1,1,1,7,14.3,42.9,-55.71
Dubai Tycoon,1,1,1,3,33.3,100.0,366.67
Sweetgeorgia Brown,1,3,1,7,14.3,71.4,-58.57
Written With Ease,1,1,1,6,16.7,50.0,-75.83
Money Maher,1,0,0,2,50.0,50.0,55.00
Fallen Empire,1,0,2,3,33.3,100.0,10.00
No Apology,1,0,0,2,50.0,50.0,275.00
Truculent,1,2,2,10,10.0,50.0,-50.00
Travancore,1,1,1,8,12.5,37.5,-47.50
Soaring Eagle,1,3,1,12,8.3,41.7,-73.33
Feared Eyes,1,1,0,3,33.3,66.7,83.33
Moonlight Ruby,1,1,1,8,12.5,37.5,162.50
Lesage,1,1,0,2,50.0,100.0,55.00
Here de Fox,1,2,2,7,14.3,71.4,-70.71
Gee Gee Bay Watch,1,0,1,4,25.0,50.0,62.50
Written in Rouge,1,1,2,10,10.0,40.0,-56.00
Sesto Elemento,1,1,1,11,9.1,27.3,90.91
She's Choosie,1,3,0,10,10.0,40.0,-72.00
Latin Beat,1,1,1,6,16.7,50.0,-45.00
Sally's Realm,1,0,2,6,16.7,50.0,-30.00
Cuba,1,1,1,6,16.7,50.0,100.00
All Shiraz,1,1,4,10,10.0,60.0,-79.50
Sister Kitty Mac,1,1,0,9,11.1,22.2,-61.11
Terrifying,1,1,0,4,25.0,50.0,10.00
Wakan Tanka,1,4,5,15,6.7,66.7,-81.33
Panzerfaust,1,1,0,5,20.0,40.0,-69.00
Miss Frost,1,1,0,3,33.3,66.7,-35.00
Yulong Savings,1,1,0,3,33.3,66.7,6.67
Happy Hooves,1,1,1,9,11.1,33.3,-57.78
Montelena,1,0,0,1,100.0,100.0,450.00
Seannie,1,0,0,1,100.0,100.0,380.00
Mother to Race Her,1,4,2,12,8.3,58.3,-84.17
Gold Artisan,1,2,2,10,10.0,50.0,20.00
Your Witness,1,1,5,10,10.0,70.0,-5.00
Taberna,1,1,1,7,14.3,42.9,-37.14
Lucky Plutus,1,2,2,13,7.7,38.5,-83.85
The Mallee Mob,1,3,2,14,7.1,42.9,-82.14
Carluca,1,0,2,11,9.1,27.3,-71.82
Dress Rehearsal,1,2,1,12,8.3,33.3,-33.33
Loveseat,1,3,0,9,11.1,44.4,-74.44
Shezandi As,1,3,2,8,12.5,75.0,-76.88
Battle Cry,1,2,0,7,14.3,42.9,-14.29
Botti,1,0,2,6,16.7,50.0,-58.33
Going Gaga,1,1,2,9,11.1,44.4,-56.67
It's a Battle,1,6,3,21,4.8,47.6,-84.76
Etheridge,1,3,0,8,12.5,50.0,12.50
Motime,1,4,1,11,9.1,54.5,-84.55
Backfill,1,1,2,8,12.5,50.0,-67.50
Curse Free,1,2,1,11,9.1,36.4,72.73
Mr Tickets,1,1,0,11,9.1,18.2,-60.00
Ultra Smart,1,2,1,11,9.1,36.4,-63.64
Taikun Warrior,1,1,2,8,12.5,50.0,-80.00
Diamond Bliss,1,0,3,7,14.3,57.1,-50.00
The Zoff,1,3,2,13,7.7,46.2,-38.46
Boomtown Rat,1,0,2,7,14.3,42.9,-21.43
Henry the Dolphin,1,1,2,12,8.3,33.3,575.00
Auburn Boy,1,4,0,8,12.5,62.5,-71.88
Nudge Bar,1,3,0,5,20.0,80.0,520.00
Main Stage,1,0,0,8,12.5,12.5,18.75
Adatto,1,2,1,5,20.0,80.0,-16.00
Miss Adequate,1,2,0,5,20.0,60.0,30.00
Wearetenfortyeight,1,3,0,9,11.1,44.4,44.44
Elusive Nature,1,0,1,5,20.0,40.0,100.00
Colour of Money,1,0,4,10,10.0,50.0,-69.00
Caccini,1,2,0,7,14.3,42.9,-34.29
Scherzer,1,2,4,7,14.3,100.0,-60.00
Francisco Pizaro,1,3,1,7,14.3,71.4,-37.14
Fagin's Touch,1,1,1,8,12.5,37.5,6.25
Malvagio,1,3,1,7,14.3,71.4,-61.43
Elam,1,3,1,10,10.0,50.0,-54.00
Aldous,1,2,0,4,25.0,75.0,75.00
Unify,1,1,0,3,33.3,66.7,83.33
Barcali,1,0,1,3,33.3,66.7,83.33
Icelandic Star,1,3,2,14,7.1,42.9,-50.00
Hostwin Saturn,1,1,1,8,12.5,37.5,-55.00
Takarakka,1,3,2,13,7.7,46.2,-78.46
Definia,1,2,1,11,9.1,36.4,-45.45
Shark Alley,1,2,2,12,8.3,41.7,-60.00
Red Jewel Girl,1,3,3,7,14.3,100.0,-77.14
Collins Creek,1,4,1,9,11.1,66.7,-58.89
Wealthy Wolf,1,1,1,6,16.7,50.0,16.67
Medovina,1,0,1,7,14.3,28.6,-58.57
Lady of Flanders,1,1,0,6,16.7,33.3,-33.33
Manzala,1,2,0,10,10.0,30.0,-40.00
Boulevardier,1,1,0,8,12.5,25.0,-55.00
Tasman's Reward,1,0,0,3,33.3,33.3,100.00
Eclair Breeze,1,1,1,3,33.3,100.0,83.33
Roland Garros,1,2,0,7,14.3,42.9,-21.43
Pedro Ximenez,1,0,2,8,12.5,37.5,-31.25
For Pete's Sake,1,3,4,14,7.1,57.1,-32.14
Cozhecancan,1,0,1,7,14.3,28.6,-58.57
First Water,1,1,3,8,12.5,62.5,-65.00
Ronan's Rock,1,1,1,6,16.7,50.0,-65.00
I'll'ava'alf,1,0,0,6,16.7,16.7,-45.00
Jaamint,1,0,1,8,12.5,25.0,912.50
Tambo's Heart,1,4,2,14,7.1,50.0,-14.29
Daiquiri Lass,1,5,0,15,6.7,40.0,-70.67
Falls,1,1,1,4,25.0,75.0,15.00
Let's Get Animal,1,4,2,13,7.7,53.8,-80.00
Front Sight,1,2,1,4,25.0,100.0,-71.50
Lettre D'amour,1,1,3,12,8.3,41.7,25.00
All Stand,1,0,1,8,12.5,25.0,-72.50
Castelo,1,0,0,5,20.0,20.0,180.00
Atlantica,1,1,2,8,12.5,50.0,-18.75
Last Chance,1,5,1,7,14.3,100.0,-75.00
Missie Archer,1,2,0,7,14.3,42.9,-21.43
Stormy Shore,1,0,2,15,6.7,20.0,-88.33
Fast Train,1,1,2,9,11.1,44.4,-68.89
Family Discussion,1,3,1,8,12.5,62.5,-71.25
Lifetime Quest,1,3,0,4,25.0,100.0,-56.25
Yulong Monoceros,1,0,1,6,16.7,33.3,33.33
Chevite,1,0,1,8,12.5,25.0,6.25
Fantasay,1,2,2,8,12.5,62.5,-37.50
Make Mine Hennessy,1,1,1,5,20.0,60.0,10.00
Shenron,1,4,2,11,9.1,63.6,-56.36
Minted,1,0,0,3,33.3,33.3,150.00
Angiolini,1,1,2,11,9.1,36.4,-9.09
Zabelarina,1,0,2,5,20.0,60.0,-8.00
Seven Year Reward,1,1,1,7,14.3,42.9,-21.43
Smart As,1,0,0,4,25.0,25.0,275.00
Goldifox,1,0,1,6,16.7,33.3,-72.50
Ultimate Power,1,2,3,9,11.1,66.7,-71.11
First Time Lucky,1,4,1,12,8.3,50.0,-82.92
Plagiarist,1,1,2,7,14.3,57.1,-40.00
Carpe Noctem,1,3,3,9,11.1,77.8,-44.44
Head Noises,1,2,1,4,25.0,100.0,-67.50
Secretly Discreet,1,1,3,8,12.5,62.5,-76.25
Achondrite,1,2,0,4,25.0,75.0,-50.00
Il Riccio,1,2,2,13,7.7,38.5,-64.62
So Schmick,1,2,0,10,10.0,30.0,-50.00
Chicansalade,1,1,2,8,12.5,50.0,75.00
Universal Mae,1,2,4,12,8.3,58.3,-63.33
Alliterate,1,1,1,13,7.7,23.1,-69.23
Plot the Course,1,1,0,8,12.5,25.0,-40.00
Vihari,1,1,0,7,14.3,28.6,-21.43
Miss Ester,1,3,0,12,8.3,33.3,-16.67
Peacock,1,0,1,10,10.0,20.0,-54.00
Vamonoz,1,3,0,6,16.7,66.7,-70.00
Fearless Girl,1,0,2,9,11.1,33.3,-38.89
Clever Miss,1,1,1,4,25.0,75.0,-48.75
Colesberg,1,2,1,12,8.3,33.3,-41.67
Tried And Tired,1,0,0,11,9.1,9.1,-63.64
Canelo,1,0,3,13,7.7,30.8,-72.31
Duck Duck Goose,1,3,0,6,16.7,66.7,-53.33
Gordon's Leap,1,0,1,3,33.3,66.7,466.67
Surjin,1,1,1,12,8.3,25.0,-41.67
Dream Fields,1,2,2,9,11.1,55.6,-70.00
Justaroundmidnight,1,2,1,10,10.0,40.0,210.00
Ducale,1,0,0,12,8.3,8.3,-16.67
Scappare,1,2,2,11,9.1,45.5,-64.55
Spiritosa,1,2,1,9,11.1,44.4,-62.22
Here's Alwyn,1,1,4,12,8.3,50.0,-70.00
Magnolia Power,1,2,1,5,20.0,80.0,-67.00
As It Lies,1,2,0,6,16.7,50.0,-41.67
Gelignite Jack,1,1,2,7,14.3,57.1,-62.86
Lucky Louie,1,1,1,6,16.7,50.0,-76.67
Shaman,1,0,3,9,11.1,44.4,-78.33
Typhoon Bonny,1,3,6,12,8.3,83.3,-70.00
She's A Diplomat,1,4,1,11,9.1,54.5,-69.09
Sunquest,1,2,3,13,7.7,46.2,-80.77
Bucephalus,1,0,0,3,33.3,33.3,6.67
Our Yangtze,1,1,1,6,16.7,50.0,-53.33
Discoville,1,1,2,15,6.7,26.7,-40.00
Lacevinsky,1,2,1,4,25.0,100.0,-37.50
Lady Annabel,1,2,2,16,6.3,31.3,-62.50
Diapason,1,0,2,10,10.0,30.0,-74.00
Watch the Cat,1,2,1,10,10.0,40.0,-15.00
Nothin' Like Harry,1,1,0,6,16.7,33.3,-66.67
Taraayef,1,1,0,2,50.0,100.0,60.00
Chilled Rose,1,2,1,7,14.3,57.1,-70.00
Redemption Road,1,2,1,8,12.5,50.0,62.50
Pinup Miss,1,1,1,4,25.0,75.0,-69.00
Bill The Bee,1,2,2,7,14.3,71.4,-79.29
Bionics,1,1,3,11,9.1,45.5,-56.36
Star Finder,1,0,0,5,20.0,20.0,-44.00
Totally Charmed,1,1,2,6,16.7,66.7,-71.67
Dormello Mo,1,1,1,5,20.0,60.0,140.00
Written Gem,1,1,1,6,16.7,50.0,-65.00
Winkelmann,1,0,0,3,33.3,33.3,116.67
Magic Choir,1,0,0,3,33.3,33.3,133.33
Despirito,1,4,2,11,9.1,63.6,-54.55
Jinda,1,3,3,10,10.0,70.0,-85.50
Pandemonium,1,0,1,6,16.7,33.3,-8.33
Tessa Burrito,1,2,3,11,9.1,54.5,-54.55
Honey Esprit,1,1,0,6,16.7,33.3,-69.17
Big Reel,1,0,2,6,16.7,50.0,100.00
Hard Yaga,1,2,3,7,14.3,85.7,-68.57
Captain Manering,1,1,2,12,8.3,33.3,-37.50
Serious Crime,1,2,1,9,11.1,44.4,-38.89
Full Recognition,1,1,1,4,25.0,75.0,-67.50
En Aval,1,0,1,3,33.3,66.7,40.00
Attique,1,2,1,11,9.1,36.4,-67.27
Exonerate,1,4,5,16,6.3,62.5,-68.75
Pat the Weapon,1,3,2,9,11.1,66.7,-48.89
Kiss the Bride,1,1,4,8,12.5,75.0,-12.50
Great Glen,1,3,0,9,11.1,44.4,244.44
Tabrobane,1,1,0,16,6.3,12.5,0.00
Twilight Run,1,0,2,5,20.0,60.0,0.00
Manhattan Mist,1,0,0,7,14.3,14.3,-72.86
Rerevaki,1,0,0,5,20.0,20.0,420.00
Dansez,1,1,0,9,11.1,22.2,-70.00
Rondalago,1,1,1,9,11.1,33.3,577.78
Gottaluvtrucks,1,3,0,7,14.3,57.1,-67.14
Lucky Linda Lulu,1,4,5,15,6.7,66.7,-66.67
Rock Zone,1,2,0,6,16.7,50.0,-60.00
Danger Deal,1,3,2,7,14.3,85.7,-50.00
Karlovasi,1,0,1,7,14.3,28.6,200.00
Kings County,1,3,1,10,10.0,50.0,-50.00
Craiglea Ella,1,2,0,11,9.1,27.3,-65.45
Whiskey Shooter,1,0,0,6,16.7,16.7,41.67
Snips,1,2,1,5,20.0,80.0,-59.00
Uno Ruby,1,3,0,10,10.0,40.0,-45.00
Maid Marilyn,1,2,0,8,12.5,37.5,-67.50
Daktari,1,2,0,11,9.1,27.3,-56.36
Craiglea Altona,1,2,2,13,7.7,38.5,-42.31
Longclaw,1,0,4,11,9.1,45.5,-36.36
Just Sizzling,1,4,0,12,8.3,41.7,25.00
Outta Reach,1,2,0,5,20.0,60.0,-62.00
We Could Be Heroes,1,5,0,9,11.1,66.7,-62.22
Lancaster Bomber,1,1,0,8,12.5,25.0,75.00
Celebrator,1,2,6,12,8.3,75.0,-87.92
Smart Fox,1,2,0,6,16.7,50.0,-35.00
Chevaux,1,0,4,12,8.3,41.7,-79.58
Cedarwood,1,1,1,7,14.3,42.9,-55.71
Lady of Kos,1,2,0,10,10.0,30.0,80.00
Mullaghmore,1,2,0,7,14.3,42.9,-77.14
Flower of Scotland,1,2,2,10,10.0,50.0,-35.00
Devlann,1,1,0,8,12.5,25.0,62.50
Lake Jackson,1,1,0,7,14.3,28.6,0.00
Sing Oh Danny Boy,1,1,0,9,11.1,22.2,-74.44
Zaide,1,2,4,10,10.0,70.0,-45.00
