Horses,1st,2nd,3rd,starts,win,place,roi
Hold the Line,3,1,1,7,42.9,71.4,4.29
Star Fall,3,0,0,5,60.0,60.0,89.00
Mahalangur,3,2,0,8,37.5,62.5,58.13
Nobu,3,1,2,9,33.3,66.7,15.56
Baller,3,1,0,8,37.5,50.0,760.00
Heptagon,3,1,0,10,30.0,40.0,-16.50
Sweet Scandal,3,1,0,10,30.0,40.0,13.00
Vinland,3,3,0,10,30.0,60.0,204.00
Sebrakate,3,2,0,7,42.9,71.4,98.57
Fun Fact,3,1,2,13,23.1,46.2,121.54
Vega One,3,3,0,8,37.5,75.0,-2.88
Admiral's Joker,3,2,0,7,42.9,71.4,58.57
Stronger,3,0,2,7,42.9,71.4,95.71
Grey Shadow,3,1,1,8,37.5,62.5,45.00
Prophet's Thumb,3,0,2,10,30.0,50.0,34.00
Big Night Out,3,1,1,10,30.0,50.0,151.00
Bam's On Fire,3,1,1,5,60.0,100.0,147.20
The Gatting Ball,3,5,0,13,23.1,61.5,-13.85
Barry the Baptist,3,4,1,14,21.4,57.1,-27.14
Kazio,3,3,2,9,33.3,88.9,26.67
Morrissy,3,1,1,7,42.9,71.4,77.14
Prying Tom,3,0,2,12,25.0,41.7,-17.50
Miss Norway,3,1,0,6,50.0,66.7,73.33
Free Fly Too,3,1,1,12,25.0,41.7,100.00
Zalatte,3,0,0,8,37.5,37.5,53.75
Reelem in Ruby,3,2,1,6,50.0,100.0,0.83
Crystal Valley,3,2,2,12,25.0,58.3,193.33
Zalmona,3,4,5,17,17.6,70.6,-24.41
Shoko,3,2,1,10,30.0,60.0,31.50
Tysonic,3,1,1,10,30.0,50.0,76.00
November Man,3,5,2,16,18.8,62.5,-9.06
Another Coldie,3,0,1,12,25.0,33.3,1.67
Deacalda,3,0,3,6,50.0,100.0,55.83
Cadogan,3,1,0,8,37.5,50.0,-1.25
Spiritual Pursuit,3,2,1,6,50.0,100.0,85.00
Touch of Silver,3,1,0,10,30.0,40.0,60.00
Tin Hat,3,0,1,5,60.0,80.0,78.00
Yulong January,3,2,1,8,37.5,75.0,70.00
My Pendant,3,2,0,6,50.0,83.3,126.67
Grinzinger Star,3,1,3,11,27.3,63.6,39.09
Flying Krupt,3,3,1,11,27.3,63.6,1.82
Above And Beyond,3,1,3,11,27.3,63.6,40.91
Rockon Tommy,3,1,2,12,25.0,50.0,0.42
Maracaibo,3,0,1,10,30.0,40.0,13.00
Scallopini,3,1,2,6,50.0,100.0,130.00
Semari,3,0,1,6,50.0,66.7,55.83
Oceanex,3,1,1,6,50.0,83.3,61.67
Five Kingdom,3,1,3,9,33.3,77.8,22.22
Southern Lad,3,1,3,9,33.3,77.8,41.11
Great Again,3,1,1,8,37.5,62.5,231.25
Hingus Rose,3,3,1,14,21.4,50.0,15.00
Hussybay,3,2,0,12,25.0,41.7,-17.92
Skate to Paris,3,3,1,9,33.3,77.8,76.67
Pure Scot,3,1,1,10,30.0,50.0,143.00
Sophie's Song,3,3,4,13,23.1,76.9,-25.77
Diamond Thunder,3,0,1,5,60.0,80.0,84.00
Battle Torque,3,1,0,10,30.0,40.0,142.00
Fasika,3,0,0,3,100.0,100.0,605.00
Choisborder,3,0,1,6,50.0,66.7,144.17
Excise Free,3,2,0,7,42.9,71.4,25.71
She's Furline,3,1,1,10,30.0,50.0,54.00
Coruscate,3,1,1,6,50.0,83.3,41.67
Jedaffair,3,0,0,7,42.9,42.9,301.43
Everyday Lady,3,1,1,8,37.5,62.5,135.63
Sir Lopez,3,0,2,8,37.5,62.5,-6.25
